name,id,type,tags,activationDays,activationCooldown,durationDays,deactivationDays,deactivationCooldown,unlockedAtStart,defaultForAIFleet,musicSuppression,uiOn,uiOff,uiLoop,worldOn,worldOff,worldLoop,icon,plugin,ai,desc,sortOrder
Transponder,transponder,TOGGLE,stealth-,,,,0.1,,TRUE,TRUE,,ui_transponder_on,ui_transponder_off,,,,,graphics/icons/abilities/transponder.png,com.fs.starfarer.api.impl.campaign.abilities.TransponderAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.TransponderAbilityAI,Bwoadcast youw identity; wequiwed fow wegaw twade.,100
Go Dark,go_dark,TOGGLE,"stealth+, burn-",0.1,,,,,TRUE,TRUE,,ui_go_dark_on,ui_go_dark_off,,world_go_dark_on,world_go_dark_off,,graphics/icons/abilities/go_dark.png,com.fs.starfarer.api.impl.campaign.abilities.GoDarkAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.GoDarkAbilityAI,Weduce sensow pwofiwe at the cost of buwn wevew.,200
Active Sensor Burst,sensor_burst,DURATION,"stealth-, burn-, sensors+",0.2,,0.1,0.1,1,TRUE,TRUE,,ui_sensor_burst_on,,,world_sensor_burst_on,,,graphics/icons/abilities/sensor_burst.png,com.fs.starfarer.api.impl.campaign.abilities.SensorBurstAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.SensorBurstAbilityAI,"Stop and incwease detection wange, fweet is mowe detectabwe.",300
Emergency Burn,emergency_burn,DURATION,"burn+, stealth-, sensors-",0.25,,0.7,0.25,1,TRUE,TRUE,1,ui_emergency_burn_on,ui_emergency_burn_off,ui_emergency_burn_loop,world_emergency_burn_on,world_emergency_burn_off,world_emergency_burn_loop,graphics/icons/abilities/emergency_burn.png,com.fs.starfarer.api.impl.campaign.abilities.EmergencyBurnAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.EmergencyBurnAbilityAI,Bwiefwy boost buwn wevew at the cost of fuew and combat weadiness.,400
Sustained Burn,sustained_burn,TOGGLE,"burn+, stealth-",0.05,,,0.05,,TRUE,TRUE,,ui_sustained_burn_on,ui_sustained_burn_off,ui_sustained_burn_loop,world_sustained_burn_on,world_sustained_burn_off,,graphics/icons/abilities/travel_drive.png,com.fs.starfarer.api.impl.campaign.abilities.SustainedBurnAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.SustainedBurnAbilityAI,Boost buwn wevew at the cost of accewewation and wind-up time.,500
Interdiction Pulse,interdiction_pulse,DURATION,"burn-, stealth-, sensors+",0.3,,0.001,,1,TRUE,TRUE,,ui_interdict_on,ui_interdict_off,ui_interdict_loop,world_interdict_on,world_interdict_off,world_interdict_loop,graphics/icons/abilities/interdiction_pulse.png,com.fs.starfarer.api.impl.campaign.abilities.InterdictionPulseAbility,com.fs.starfarer.api.impl.campaign.abilities.ai.InterdictionPulseAbilityAI,Swow down anothew fweet heading towawds the souwce of the puwse.,650
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Scavenge,scavenge,DURATION,,0,,0,0,0.2,TRUE,,,ui_scavenge_on,,,,,,graphics/icons/abilities/scavenge.png,com.fs.starfarer.api.impl.campaign.abilities.ScavengeAbility,,Pick thwough a debwis fiewd fow anything of vawue.,600
Neutrino Detector,gravitic_scan,TOGGLE,"stealth-, sensors+",0.1,,,0.1,,,,,ui_neutrino_detector_on,ui_neutrino_detector_off,,,,,graphics/icons/abilities/neutrino_detector.png,com.fs.starfarer.api.impl.campaign.abilities.GraviticScanAbility,,Detect in-system entities at vewy wong wange; unwewiabwe with fawse weadings.,700
Transverse Jump,fracture_jump,DURATION,"stealth-, burn+",0.4,,0.001,0.1,0.5,,,,,,,jump_point_open,,,graphics/icons/abilities/direct_jump.png,com.fs.starfarer.api.impl.campaign.abilities.FractureJumpAbility,,"Jump into a system thwough a nascent gwavity weww, ow diwectwy into hypewspace.",800
Remote Survey,remote_survey,DURATION,"stealth-, burn-, sensors+",0.5,,0.1,0.1,,,,,ui_remote_survey_on,,,,,,graphics/icons/abilities/remote_survey.png,com.fs.starfarer.api.impl.campaign.abilities.RemoteSurveyAbility,,Identify the most pwomising suwvey tawget in the system.,900
Distress Call,distress_call,DURATION,,0,,0,0,1,TRUE,,,ui_distress_call_on,,,,,,graphics/icons/abilities/distress_call.png,com.fs.starfarer.api.impl.campaign.abilities.DistressCallAbility,,Issue a distwess caww.,1000
,,,,,,,,,,,,,,,,,,,,,,
Reverse Polarity,reverse_polarity,TOGGLE,codex_unlockable,0.05,,,0.05,,,,,ui_reverse_polarity_on,ui_reverse_polarity_off,ui_reverse_polarity_loop,world_reverse_polarity_on,world_reverse_polarity_off,,graphics/icons/abilities/reverse_polarity.png,com.fs.starfarer.api.impl.campaign.abilities.ReversePolarityToggle,,Adjust dwive fiewd to twavew in the opposite diwection in swipstweams.,640
Generate Slipsurge,generate_slipsurge,DURATION,"burn-, stealth-, sensors-, disabled_by_interdict, codex_unlockable",0.2,,0.001,,1,,,,ui_slipsurge_on,ui_slipsurge_off,ui_slipsurge_loop,world_slipsurge_on,world_slipsurge_off,world_slipsurge_loop,graphics/icons/abilities/slipsurge.png,com.fs.starfarer.api.impl.campaign.abilities.GenerateSlipsurgeAbility,,Cweate a powewfuw showt-wived swipstweam usefuw fow wapid twavew.,990
