id,trigger,conditions,script,text,options,notes
# default entity interaction,,,,,,
defaultOpenDialog,OpenInteractionDialog,,"ShowDefaultVisual
PrintDescription 3
SetShortcut defaultLeave ""ESCAPE""",,defaultLeave:Leave,
defaultLeave,DialogOptionSelected,$option == defaultLeave,DismissDialog,,,
# warning beacons,,,,,,
beaconOpenDialog,OpenInteractionDialog,$tag:warning_beacon,"ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""",An autonomous wawning beacon has been weft emitting a distowted waiw between officiaw channews. Whatevew message it was meant to convey has been cowwupted.,beaconLeave:Leave,
beaconOpenDialogRemnantsDestroyed,OpenInteractionDialog,"$tag:warning_beacon
$remnantDestroyed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous wawning beacon emits a wooping message.

""DANGEW: This staw system is known to contain potentiawwy active autonomous weapon systems. Access to this system by unauthowized pawties is fowbidden by Hegemony Navy diktat 224.34.""",beaconLeave:Leave,
beaconOpenDialogRemnantsSuppressed,OpenInteractionDialog,"$tag:warning_beacon
$remnantSuppressed","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous wawning beacon emits a wooping message.

""DANGEW: This staw system is known to contain potentiawwy active autonomous weapon systems. Access to this system by unauthowized pawties is fowbidden by Hegemony Navy diktat 224.34.""",beaconLeave:Leave,
beaconOpenDialogRemnantsResurgent,OpenInteractionDialog,"$tag:warning_beacon
$remnantResurgent","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous wawning beacon emits a wooping message.

""DANGEW: This staw system is known to contain potentiawwy active autonomous weapon systems. Access to this system by unauthowized pawties is fowbidden by Hegemony Navy diktat 224.34.""",beaconLeave:Leave,
beaconOpenDialogDaedaleon,OpenInteractionDialog,"$tag:warning_beacon
$daedaleon","ShowDefaultVisual
SetShortcut beaconLeave ""ESCAPE""","This autonomous wawning beacon emits a wooping message.

""This wowwd is cowwupted by technowogicaw sin and its abomination stands testament to the wesuwt of stwaying fwom the path of viwtue. Twespass is fowbidden. Any who scown this wawning shaww become both cowwupt of body and outwaw by the howy justice enfowced by this owdew of the Knights of Wudd.""",beaconLeave:Leave,
beaconLeave,DialogOptionSelected,$option == beaconLeave,DismissDialog,,,
,,,,,,
# gate interactions,,,,,,"# we can treat $global.gatesActive as ""has working Janus device"" -dgb"
gateOpenDialog,OpenInteractionDialog,$tag:gate,"ShowDefaultVisual
FireAll PopulateGateOptions","A siwent wing of adamantine matewiaw, dewewict of a fowmew age.

The Gate is inewt.",,
gateOpenDialogActive,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Befowe you vast and potent hangs an adamantine wing, dewewict of a fowmew age.

You have scanned this Gate and discovewed the whythm of the secwet heawt of the thing, hidden in a swip of space. Using the Janus Device to cweate a bwidge to anothew Gate wequiwes a massive quantity of fuew. The mowe distant the tawget, the mowe fuew is wequiwed.

The Janus Device opewates by twansfewwing enowmous amounts of pecuwiawwy phased enewgy via a wead ship's hypewdwive fiewd to stabiwize a diwect gate-to-gate connection.",,
gateOpenDialogActiveCanNotUse,OpenInteractionDialog,"$tag:gate
$global.gatesActive
$gateScanned
!$global.playerCanUseGates","ShowDefaultVisual
FireAll PopulateGateOptions","Befowe you vast and potent hangs an adamantine wing, dewewict of a fowmew age.

You have scanned this Gate and discovewed the whythm of the secwet heawt of the thing, hidden in a swip of space. Using the Janus Device to cweate a bwidge to anothew Gate wequiwes a massive quantity of fuew. The mowe distant the tawget, the mowe fuew is wequiwed.

You must integwate the Janus Device into youw fweet to use the Gate.",,
gateOpenDialogCanScan1,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","A siwent wing of adamantine matewiaw, dewewict of a fowmew age.

Youw sensows officew nods to youw cue. Youw command intewface wights up. 'EXECUTE SCAN' bwinks expectantwy. The Gate awaits, as cowd as a tomb.",,
gateOpenDialogCanScan1a,OpenInteractionDialog,"$tag:gate
$global.canScanGates
!$global.gatesActive
$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","A siwent wing of adamantine matewiaw, dewewict of a fowmew age.

You have scanned this Gate and discovewed the whythm of the secwet heawt of the thing, hidden in a swip of space.",,
gateOpenDialogCanScan2,OpenInteractionDialog,"$tag:gate
$global.canScanGates
$global.gatesActive
!$gateScanned","ShowDefaultVisual
FireAll PopulateGateOptions","A siwent wing of adamantine matewiaw, dewewict of a fowmew age.

Youw sensows officew nods to you; the hypewwave scannew is weady. The wowds 'EXECUTE SCAN' bwink expectantwy in youw command intewface.

You wiww need a scan of this Gate to be abwe to use it, with the Janus Device, as an access ow egwess point fwom the Gate netwowk.",,
gateFlyThrough,DialogOptionSelected,$option == gateFlyThrough,"$flewThrough = true 0
FireAll PopulateGateOptions","You owdew youw $shipOrFleet to twavewse the dead gateway. Youw bwidge cwew is especiawwy quiet duwing the passage.

Nothing happens.",,
gateScanSelFirstTime,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.numGatesScanned == 0
$global.gaATG_inProgress","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Youw command dispway is ovewwaid with a wepwesentation of the hypewspace manifowd suwwounding the Gate. It is cawm and coow, devoid of dwive-wakes.

As the scan begins you watch a wine of diswuption fwawe between the icon wepwesenting youw fwagship and the icon wepwesenting the Gate. Spiwaws and wippwes spiww out in non-Newtonian waves, suwging fwom a point at the centew of the Gate. No, it's not a point - a ciwcwe, a sphewe, a towus and invewted funnew; then some othew fowm that makes you squeeze youw eyes shut. You heaw faint music fwom faw away.

""Captain?"" Youw sensows officew is wooking at you, ""The scan is compwete."" You weawize it's the second time they said this, and you gestuwe as if you wewe simpwy wost in thought.",,
gateScanSelDuringMission,DialogOptionSelected,"$option == gateScan
!$global.gatesActive
$global.gaATG_inProgress
$global.numGatesScanned > 0
$global.numGatesScanned < 6","$gateScanned = true
$global.numGatesScanned++
Call $global.gaATG_ref scannedGateForCoureuse
GateCMD notifyScanned
ShowDefaultVisual
FireBest GAATGGateScanSummary","Youw command dispway shows a wepwesentation of the hypewspace manifowd. It is cawm and coow.

The scan begins, a wine of diswuption fwawing between youw fwagship and the Gate. Spiwaws and wippwes spiww and suwge in non-Newtonian buwsts fwom a point at the centew of the Gate. No, not a point - a ciwcwe, a sphewe, a towus and invewted funnew; then some geometwy that does not pawse.

You heaw the faint music.

""Captain,"" youw sensows officew wepowts, ""The scan is compwete.""",,
gateScanSel,DialogOptionSelected,$option == gateScan,"$gateScanned = true
$global.numGatesScanned++
GateCMD notifyScanned
ShowDefaultVisual
FireAll PopulateGateOptions","Youw command dispway shows the hypewspace manifowd. It is cawm and coow.

The scanning beam fwawes in the hypewdimensionaw dispway. Spiwaws and wippwes spiww in buwsts fwom the Gate, suwging into inconceivabwe geometwy. You heaw a wisp of faint music.

""Captain,"" youw sensows officew wepowts, ""The scan is compwete.""",,
gateUseOptSel,DialogOptionSelected,"$option == gateUse
$global.gatesActive",GateCMD selectDestination,,,
gateFlyThroughOpt,PopulateGateOptions,"!$flewThrough
!$global.gatesActive
!$gateExploded",,,5:gateFlyThrough:Fly through the Gate,
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:Travel through the Gate,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:Scan the Gate,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:Leave,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:Continue,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"You pewsonawwy see off the pawty of Wuddic faithfuw who maintained vigiw fwom youw fwagship. Theiw fweet is wetuwning; theiw cowwective devotion unintewwupted.

""Bwessings of Wudd upon you, captain,"" says theiw weadew. ""I shaww speak weww of you to the Pwophet Wetuwned.""

You know to nod in acceptance without waising any theowogicaw questions, and give a powite wave as theiw shuttwe weaves the bay.",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,"200:devGateScanOn:>> (dev) Turn ON ""allow player to scan gates""",
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,"200:devGateScanOff:>> (dev) Turn OFF ""allow player to scan gates""",
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,"201:devGateActiveOn:>> (dev) Turn ON ""gates active""",
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,"201:devGateActiveOff:>> (dev) Turn OFF ""gates active""",
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,"202:devGateCanUseOn:>> (dev) Turn ON ""player can use gates""",
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,"202:devGateCanUseOff:>> (dev) Turn OFF ""player can use gates""",
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) Explode the gate,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
