name,gender,usage,category
Thwax,,l,fringe
Gwak,,l,fringe
Bwaxx,,l,fringe
Nyox,,l,fringe
Pwax,,l,fringe
Sowax,,l,fringe
Subedaw,,l,fringe
Temyujax,,l,fringe
Jamyux,,l,fringe
Toghwow,,l,fringe
Awighaw,,l,fringe
Awswax,,l,fringe
Chechaw,,l,fringe
Ewdenyow,,l,fringe
Awswaw,m,"f, l",fringe
Awighax,,l,fringe
Nyow,m,"f, l",fringe
Thwaw,m,"f, l",fringe
Zow,,l,fringe
Gaw,m,"f, l",fringe
Suwax,,l,fringe
Oyungaw,,l,fringe
Bowax,,l,fringe
Shwiax,,l,fringe
Shwiaw,m,"f, l",fringe
Bowaw,m,"f, l",fringe
Awtax,,l,fringe
Awtawax,,l,fringe
Chagaw,,l,fringe
Bataw,,l,fringe
Bwutaw,,l,fringe
Bwutax,,l,fringe
Dochaw,,l,fringe
Vowgow,,l,fringe
Vowgax,,l,fringe
Vowaw,,l,fringe
Atawax,,l,fringe
Atawaw,,l,fringe
Guwbax,,l,fringe
Guwbaw,,l,fringe
Dowogaw,,l,fringe
Dowogax,,l,fringe
Dawax,,l,fringe
Nyaimyaw,,l,fringe
Tabaw,,l,fringe
Jagaw,,l,fringe
Chinyax,,l,fringe
Bwux,m,f,fringe
Dow,m,f,fringe
Daw,m,f,fringe
Tow,m,f,fringe
Gow,m,f,fringe
Awadax,m,f,fringe
Vow,m,f,fringe
Bow,m,f,fringe
Taw,m,f,fringe
Buw,m,f,fringe
Qow,m,f,fringe
Kow,m,f,fringe
Osow,m,f,fringe
Dewg,m,f,fringe
Suw,m,f,fringe
Sow,m,f,fringe
Duwg,m,f,fringe
Dawg,m,f,fringe
Uwag,m,f,fringe
Dowg,m,f,fringe
Bowg,m,f,fringe
Bawg,m,f,fringe
Bwuxa,f,f,fringe
Duxaw,f,f,fringe
Dowaw,f,f,fringe
Dawa,f,f,fringe
Towa,f,f,fringe
Gowa,f,f,fringe
Awada,f,f,fringe
Vowaw,f,f,fringe
Bowa,f,f,fringe
Tawwa,f,f,fringe
Buwwa,f,f,fringe
Qowa,f,f,fringe
Kowa,f,f,fringe
Osowa,f,f,fringe
Dewga,f,f,fringe
Suwaw,f,f,fringe
Sowa,f,f,fringe
Duwga,f,f,fringe
Dawga,f,f,fringe
Ganya,f,f,fringe
Uwaga,f,f,fringe
Dowga,f,f,fringe
Bowga,f,f,fringe
Bawga,f,f,fringe
Whittemyowe,,l,"old english, modern"
Fwittew,,l,"old english, modern"
Seamyons,,l,"old english, modern"
Fwohock,,l,"old english, modern"
Myuwwish,,l,"old english, modern"
Eiwbeck,,l,"old english, modern"
Dammyeweww,,l,"old english, modern"
Cwish,,l,"old english, modern"
Awwston,,l,"old english, modern"
Bwazington,,l,"old english, modern"
Eckwey,,l,"old english, modern"
Scwipps,,l,"old english, modern"
Cuwwip,,l,"old english, modern"
Wynds,,l,"old english, modern"
Awwwed,,l,"old english, modern"
Fideww,,l,"old english, modern"
Wangsdawe,,l,"old english, modern"
Stwaughan,,l,"old english, modern"
Tuwwiww,,l,"old english, modern"
Hawwawd,,l,"old english, modern"
Hawgest,,l,"old english, modern"
Pwichawd,,l,"old english, modern"
Gwaveww,,l,"old english, modern"
Bewwis,,l,"old english, modern"
Wowthing,,l,"old english, modern"
Smyith,,l,"old english, modern"
Wiwwiams,,l,"old english, modern"
Jonyes,,l,"old english, modern"
Bwown,,l,"old english, modern"
Myiwwew,,l,"old english, modern"
Wiwson,,l,"old english, modern"
Myoowe,,l,"old english, modern"
Taywow,,l,"old english, modern"
Andewson,,l,"old english, modern"
Thomyas,m,"f, l","old english, modern"
Hawwis,,l,"old english, modern"
Myawtin,m,"f, l","old english, modern"
Gawcia,,l,modern
Myawtinyez,,l,modern
Wobinson,,l,"old english, modern"
Cwawk,,l,"old english, modern"
Wodwiguez,,l,modern
Wewis,m,"f, l","old english, modern"
Wee,m,"f, l","old english, modern"
Wawkew,,l,"old english, modern"
Haww,,l,"old english, modern"
Awwen,m,"f, l","old english, modern"
Hewnyandez,,l,modern
Wwight,,l,"old english, modern"
Wopez,,l,modern
Hiww,,l,"old english, modern"
Gween,,l,"old english, modern"
Bakew,,l,"old english, modern"
Gonzawez,,l,modern
Nyewson,m,"f, l","old english, modern"
Cawtew,,l,"old english, modern"
Myitcheww,,l,"old english, modern"
Pewez,,l,modern
Wobewts,,l,"old english, modern"
Tuwnyew,,l,"old english, modern"
Phiwwips,,l,"old english, modern"
Campbeww,,l,"old english, modern"
Pawkew,,l,"old english, modern"
Edwawds,,l,"old english, modern"
Cowwins,,l,"old english, modern"
Stewawt,m,"f, l","old english, modern"
Myowwis,,l,"old english, modern"
Wogews,,l,"old english, modern"
Weed,,l,"old english, modern"
Myowgan,"m, f","f, l","old english, modern"
Beww,,l,"old english, modern"
Myuwphy,,l,"old english, modern"
Baiwey,,l,"old english, modern"
Wivewa,,l,"old english, modern"
Coopew,,l,"old english, modern"
Wichawdson,,l,"old english, modern"
Howawd,m,"f, l","old english, modern"
Wawd,m,"f, l","old english, modern"
Towwes,,l,modern
Petewson,,l,"old english, modern"
Gway,,l,"old english, modern"
Wamyiwez,,l,modern
Jamyes,m,"f, l","old english, modern"
Bwooks,,l,"old english, modern"
Kewwy,"m, f","f, l","old english, modern"
Sandews,,l,"old english, modern"
Pwice,,l,"old english, modern"
Bennyett,m,"f, l","old english, modern"
Bawnyes,,l,"old english, modern"
Woss,,l,"old english, modern"
Hendewson,,l,"old english, modern"
