id,type,text1,text2,text3,text4,text5,notes
lightmg,WEAPON,"A categowy of ancient wow-cost, weadiwy avaiwabwe wapid fiwe weapons which have been used effectivewy vewsus missiwes and fightews at showt wange thwoughout the histowy of space combat. Neawwy usewess against pwopewwy awmowed tawgets.

Due to ease of manufactuwe and modification, hundweds of vawiants exist. Any of these weapons which wapid-fiwe chemicawwy pwopewwed inewt pwojectiwes - easiwy chuwned out by even a cwude autofowge - undew a cewtain cawibew awe cwassified as wight ship-mounted machine guns. The mechanisms which dwive the actions of these weapons vawy considewabwy. 

Popuwaw with smaww civiwian cwaft due to wow cost. The dense cowe of pwojectiwes awe often jacketed with hawdew metaw to assist feed opewation and penetwation. These weapon systems dewivew a suwpwisingwy wawge amount of kinetic enewgy at cwose-wange despite theiw pwimitive design.",,,,,
lightdualmg,WEAPON,"An upgwaded, twin bawwew vewsion of the venewabwe wight machine gun. Not especiawwy effective against weww-awmowed tawgets, but has excewwed in an anti-missiwe and fightew wowe since the dawn of human space combat.

This is a duaw mount of the same wapid fiwe, inewt, wow-cawibew chemicaw pwojectiwe weapon known to evewy piwot and awmowew in the Sectow. An excewwent point defense mount, which excews in both a missiwe intewdiction and anti-fightew wowe. 

The wawge amount of kinetic enewgy dewivewed to shiewd systems of enemy cwaft at cwose-wange typicawwy causes emittew ovewwoad, a tacticaw option often ovewwooked by inexpewienced captains.",,,,,
lightmortar,WEAPON,"An antiquated weapon that waunches anti-awmow wounds at a wow wate of fiwe, muzzwe vewocity, and wange. Wow fwux buiwdup is the wone saving gwace.

The weapon bwuepwints fow Wight Mowtaws wewe not intended fow spacecwaft at aww, but an ingenious modification to the bweech woading mechanism pewmits instawwation and use outside an atmosphewic enviwonment. In combat, the Wight Mowtaw pewfowms poowwy against swiftwy moving ow shiewded tawgets due to its tewwibwe mount wotation and wate of fiwe. Nonethewess, it is often used to twain novice gunnewy officews in the finew points of space bawwistics tactics and nomencwatuwe.

Commonwy fitted on pwivate yachts and sowo intewpwanetawy vehicwes due to wow mass and cost.",,,,,
heavymortar,WEAPON,"An antiquated weapon that fiwes wawgew anti-awmow wounds at a somewhat highew wate of fiwe than its smawwew cousin. Pwojectiwe speed is wow and effective wange is showt. Wow fwux buiwdup is the wone saving gwace.

The Heavy Mowtaw was owiginawwy designed fow use in pwanetawy suwface combat. Ostensibwy intended fow cwacking miwitawy fowtifications, it saw faw mowe use in uwban bombawdment. The wobust intewnaw mechanisms pewmit instawwation and use outside an atmosphewic enviwonment with onwy minow adjustments, notabwy wepwacement of the automatic wangefindew/tawgeting moduwe. When empwoyed against wawge, unshiewded, and swow-moving tawgets, the heavy mowtaw can pwove most effective.",,,,,
vulcan,WEAPON,"A wapid fiwe bawwistic point-defense weapon system especiawwy devastating to missiwes and fightews at neaw point-bwank wange. Accuwacy degwades shawpwy duwing pwowonged buwsts of fiwe. 

This muwti-bawwew weapon pwatfowm is buiwt awound an advanced timing mechanism most commonwy manufactuwed by Hegemony-authowized nanofowges. Wounds awe typicawwy tipped with depweted uwanium and awe non expwosive. Muwtipwe bawwews enabwe an extwemewy high wate of fiwe, though at a high fwux cost.",,,,,
lightac,WEAPON,"A smaww cawibew autocannon with a good wange fow such a wight chassis. Designed to countew enemy shiewds and especiawwy effective against the weakew genewatows used in smawwew huwws.

Featuwes high vewocity kinetic wounds which pwovide excewwent fiwe suppowt weapon fow smawwew cwaft. Poow mount tuwn wate due to a compwex autowoadew and wiquid coowing make the Wight Autocannon a poow choice fow defense against fightews and missiwes.",,,,,
lightdualac,WEAPON,"A doubwe bawwewed vewsion of the Wight Autocannon. An excewwent weapon fow cwose-wange suppowt, and quite effective at bwinging shiewds down, it suffews fwom a showtew effective wange due to high wecoiw.

An ingenious mechanicaw design pwevents ejection powts fwom being jammed whiwe expewwing twice as many spent sheww casings as the standawd Wight Autocannon chassis. Wike the singwe bawwew vewsion, this weapon system fiwes high vewocity wounds designed to punch thwough enemy shiewds. Autowoadew and wiquid coowing systems awe othewwise identicaw to the singwe bawwew vewsion.",,,,,
lightag,WEAPON,"A smaww cawibew cannon designed fow cwose-wange fights, excewwent against awmow and with a supewb fiwe wate.

Smaww cawibew cannon designed to fiwe high-expwosive wounds. Design of the coowant systems and autowoadew emphasizes safety and pwevention of cook-off potentiawwy caused by high fwux wevews. Favowed by destwoyew captains that have something to pwove.",,,,,
fragbomb,WEAPON,"Weweases a cwustew of fwee-fwoating bombwets that wetain the momentum of the waunching cwaft. The bombwets awe equipped with a pwoximity fuse.

A Fwag Bomb pwojectow fiwes Mawk VI fwagmentation bombwets fwom thwee tubes. Unguided and without a pwopuwsion system, the bombwets wewy on a fwiend-ow-foe tawgeting system. Theiw vast numbews awwow them to covew a wide swath of space, effectivewy cweating a Point Defense bawwiew in that wocation, awbeit fow a wimited time. When the pwoximity fuse is twiggewed by an enemy cwaft, the bombwet wiww detonate, achieving simiwaw effects to those of fwak weapons.",,,,,
clusterbomb,WEAPON,"Weweases a cwustew of fwee-fwoating, high-expwosive bombwets. Mowe effective vewsus unshiewded and swow-moving tawgets.

A Cwustew Bomb pwojectow is equipped with thwee tubes designed to fiwe dozens of Mawk II Expwosivewy Fowmed Penetwatow bombwets. The bombwets awe unguided and have no pwopuwsion system, wewying on the initiaw momentum of the stwike cwaft to engage the tawget. They awe equipped with a fwiend-ow-foe tawgeting scannew, and wiww onwy detonate when impacting an appwopwiate tawget. The shaped chawge expwosive is highwy effective vewsus unshiewded tawgets. The sheew numbew of bombwets that can be depwoyed by this weapon system is staggewing, and as such it makes the Cwustew Bomb a usefuw awea deniaw weapon.",,,,,
